train_returns_Average,train_returns_Std,train_returns_Median,train_returns_Min,train_returns_Max,train_ep_lens_Average,train_ep_lens_Std,train_ep_lens_Median,train_ep_lens_Min,train_ep_lens_Max,TimeSinceStart,VectorizedStep,GlobalStep,SingleStep
0.036811754,0.029485643,0.03847352,-0.0011227683,0.0805439,1000.0,0.0,1000.0,1000,1000,325.6825988292694,151952,151952,18994
0.07024312,0.0,0.07024312,0.07024312,0.07024312,1000.0,0.0,1000.0,1000,1000,329.43845295906067,153672,153672,19209
0.14758775,0.0046626553,0.14758775,0.14292508,0.1522504,1000.0,0.0,1000.0,1000,1000,340.31402611732483,158728,158728,19841
0.03584528,0.032399215,0.034209635,-0.017766293,0.083210215,1000.0,0.0,1000.0,1000,1000,342.9871883392334,159952,159952,19994
-0.001224943,0.0,-0.001224943,-0.001224943,-0.001224943,1000.0,0.0,1000.0,1000,1000,346.82094955444336,161672,161672,20209
0.29411674,0.0021025985,0.29411674,0.29201415,0.29621935,1000.0,0.0,1000.0,1000,1000,357.92671155929565,166728,166728,20841
0.27982616,0.082469694,0.31755844,0.12604286,0.3654039,1000.0,0.0,1000.0,1000,1000,360.6463072299957,167952,167952,20994
0.31874534,0.0,0.31874534,0.31874534,0.31874534,1000.0,0.0,1000.0,1000,1000,364.6456706523895,169672,169672,21209
-0.09224915,0.15141183,-0.09224915,-0.24366097,0.05916268,1000.0,0.0,1000.0,1000,1000,376.0549418926239,174728,174728,21841
0.25168356,0.030253004,0.2418662,0.22409286,0.31047368,1000.0,0.0,1000.0,1000,1000,378.82727885246277,175952,175952,21994
0.32008567,0.0,0.32008567,0.32008567,0.32008567,1000.0,0.0,1000.0,1000,1000,383.0128688812256,177672,177672,22209
0.18118982,0.025066689,0.18118982,0.15612313,0.20625651,1000.0,0.0,1000.0,1000,1000,395.15405535697937,182728,182728,22841
0.28908303,0.02760627,0.29759467,0.23761155,0.31994247,1000.0,0.0,1000.0,1000,1000,400.2656126022339,183952,183952,22994
0.11282448,0.0,0.11282448,0.11282448,0.11282448,1000.0,0.0,1000.0,1000,1000,404.4456567764282,185664,185664,23208
0.3750032,0.012594253,0.3750032,0.36240894,0.38759744,1000.0,0.0,1000.0,1000,1000,416.4924943447113,190728,190728,23841
0.23962343,0.035761222,0.2265712,0.20556526,0.30268314,1000.0,0.0,1000.0,1000,1000,419.25428891181946,191952,191952,23994
0.50355476,0.0,0.50355476,0.50355476,0.50355476,1000.0,0.0,1000.0,1000,1000,423.1294569969177,193656,193656,24207
0.5392911,0.0,0.5392911,0.5392911,0.5392911,1000.0,0.0,1000.0,1000,1000,435.08520770072937,198720,198720,24840
0.6745655,0.0,0.6745655,0.6745655,0.6745655,1000.0,0.0,1000.0,1000,1000,435.1191484928131,198728,198728,24841
0.2888003,0.06589365,0.25419962,0.21662728,0.3704773,1000.0,0.0,1000.0,1000,1000,437.82345700263977,199944,199944,24993
0.50052893,0.0,0.50052893,0.50052893,0.50052893,1000.0,0.0,1000.0,1000,1000,441.8703787326813,201656,201656,25207
0.5467947,0.0,0.5467947,0.5467947,0.5467947,1000.0,0.0,1000.0,1000,1000,453.162118434906,206712,206712,25839
0.33329427,0.0,0.33329427,0.33329427,0.33329427,1000.0,0.0,1000.0,1000,1000,453.1869978904724,206720,206720,25840
0.41008288,0.02064701,0.423386,0.373915,0.42802924,1000.0,0.0,1000.0,1000,1000,456.15081238746643,207944,207944,25993
0.087404616,0.0,0.087404616,0.087404616,0.087404616,1000.0,0.0,1000.0,1000,1000,460.34258008003235,209656,209656,26207
0.1956801,0.0,0.1956801,0.1956801,0.1956801,805.0,0.0,805.0,805,805,468.766574382782,213152,213152,26644
0.06619862,0.0,0.06619862,0.06619862,0.06619862,442.0,0.0,442.0,442,442,468.858491897583,213192,213192,26649
0.13398811,0.0,0.13398811,0.13398811,0.13398811,673.0,0.0,673.0,673,673,469.16412830352783,213320,213320,26665
0.039882917,0.0,0.039882917,0.039882917,0.039882917,932.0,0.0,932.0,932,932,471.0517280101776,214168,214168,26771
0.15403941,0.0,0.15403941,0.15403941,0.15403941,802.0,0.0,802.0,802,802,471.476261138916,214352,214352,26794
0.20557667,0.0,0.20557667,0.20557667,0.20557667,807.0,0.0,807.0,807,807,471.5615713596344,214392,214392,26799
0.20672569,0.0,0.20672569,0.20672569,0.20672569,818.0,0.0,818.0,818,818,471.7585518360138,214480,214480,26810
-0.06380346,0.0,-0.06380346,-0.06380346,-0.06380346,62.0,0.0,62.0,62,62,472.17617988586426,214664,214664,26833
-0.023962291,0.0,-0.023962291,-0.023962291,-0.023962291,173.0,0.0,173.0,173,173,472.25316882133484,214696,214696,26837
0.0146350805,0.0,0.0146350805,0.0146350805,0.0146350805,87.0,0.0,87.0,87,87,473.0143942832947,215040,215040,26880
-0.07372669,0.0,-0.07372669,-0.07372669,-0.07372669,73.0,0.0,73.0,73,73,473.05546259880066,215056,215056,26882
0.0941384,0.0,0.0941384,0.0941384,0.0941384,171.0,0.0,171.0,171,171,474.4843351840973,215760,215760,26970
-0.08540143,0.0,-0.08540143,-0.08540143,-0.08540143,338.0,0.0,338.0,338,338,474.67439579963684,215856,215856,26982
0.38560748,0.0,0.38560748,0.38560748,0.38560748,1000.0,0.0,1000.0,1000,1000,474.84061074256897,215936,215936,26992
0.08725964,0.0,0.08725964,0.08725964,0.08725964,162.0,0.0,162.0,162,162,474.8968346118927,215960,215960,26995
0.03143309,0.0,0.03143309,0.03143309,0.03143309,64.0,0.0,64.0,64,64,475.85086274147034,216368,216368,27046
0.05104628,0.0,0.05104628,0.05104628,0.05104628,170.0,0.0,170.0,170,170,475.9520275592804,216416,216416,27052
0.06372571,0.0,0.06372571,0.06372571,0.06372571,91.0,0.0,91.0,91,91,476.1218316555023,216488,216488,27061
-0.0023360504,0.0,-0.0023360504,-0.0023360504,-0.0023360504,68.0,0.0,68.0,68,68,476.1584701538086,216504,216504,27063
0.18203287,0.0,0.18203287,0.18203287,0.18203287,421.0,0.0,421.0,421,421,476.2888939380646,216552,216552,27069
0.05049766,0.0,0.05049766,0.05049766,0.05049766,198.0,0.0,198.0,198,198,476.44413328170776,216624,216624,27078
0.008608096,0.0,0.008608096,0.008608096,0.008608096,68.0,0.0,68.0,68,68,477.1120479106903,216904,216904,27113
0.01772777,0.0,0.01772777,0.01772777,0.01772777,447.0,0.0,447.0,447,447,480.2337338924408,218272,218272,27284
-0.028439542,0.0,-0.028439542,-0.028439542,-0.028439542,87.0,0.0,87.0,87,87,481.93459391593933,218968,218968,27371
0.06363759,0.04803108,0.05583481,0.009102573,0.1259754,376.0,22.015146301277824,389.0,345,394,483.5336790084839,219656,219656,27457
0.0028925135,0.0,0.0028925135,0.0028925135,0.0028925135,380.0,0.0,380.0,380,380,483.54927825927734,219664,219664,27458
-0.072554514,0.0,-0.072554514,-0.072554514,-0.072554514,486.0,0.0,486.0,486,486,485.1284646987915,220304,220304,27538
-0.16067989,0.0,-0.16067989,-0.16067989,-0.16067989,405.0,0.0,405.0,405,405,491.7126200199127,222896,222896,27862
