train_returns_Average,train_returns_Std,train_returns_Median,train_returns_Min,train_returns_Max,train_ep_lens_Average,train_ep_lens_Std,train_ep_lens_Median,train_ep_lens_Min,train_ep_lens_Max,learning_rate,value_loss,policy_loss,entropy,old_approx_kl,approx_kl,clipfrac,explained_variance,SPS,TimeSinceStart,VectorizedStep,GlobalStep,SingleStep
0.028412277,0.027696764,0.028179435,-0.12491937,0.13673282,49.150887573964496,31.35168921082205,39.0,13,251,0.00023092105263157893,6.239829235710204e-05,-0.042698368430137634,21.433399200439453,0.010788356885313988,0.01433621160686016,0.15393829345703125,0.07481235265731812,1239,1904.1196007728577,2359296,2359296,73728
0.02873802,0.028207924,0.02885696,-0.09618273,0.13975143,49.88133030990174,34.15318708556757,39.0,13,382,0.00022894736842105263,6.553281127708033e-05,-0.04546733200550079,21.394813537597656,0.013671938329935074,0.014355226419866085,0.14683685302734376,0.08122080564498901,1239,1956.5918242931366,2424832,2424832,75776
0.02920284,0.027468674,0.029422875,-0.15679145,0.1406617,49.36924219910847,32.12236872541058,39.0,13,316,0.00022697368421052629,6.485955964308232e-05,-0.04746456444263458,21.343034744262695,0.014587098732590675,0.014509869739413261,0.15009307861328125,0.08569556474685669,1241,2006.6455409526825,2490368,2490368,77824
0.031559348,0.027942916,0.030878443,-0.06740425,0.17285216,51.5998427672956,34.898137035216315,41.0,12,449,0.000225,6.42125669401139e-05,-0.04196541756391525,21.280115127563477,0.021536823362112045,0.014232104644179344,0.15290679931640624,0.0852857232093811,1242,2057.125666618347,2555904,2555904,79872
0.03242384,0.026936995,0.031738874,-0.093678825,0.131699,53.80741337630943,37.52112455551547,42.0,13,285,0.00022302631578947367,6.343470158753917e-05,-0.04350583255290985,21.225360870361328,0.009346992708742619,0.01526804082095623,0.1484954833984375,0.09458285570144653,1243,2108.1505670547485,2621440,2621440,81920
0.032952223,0.028257785,0.033092745,-0.0932761,0.14074156,55.29337803855826,39.90169518786726,42.0,11,515,0.00022105263157894738,6.501804455183446e-05,-0.0411796011030674,21.173877716064453,0.019788147881627083,0.014195880852639675,0.1538055419921875,0.09822499752044678,1246,2156.2325847148895,2686976,2686976,83968
0.03166861,0.029254267,0.030943682,-0.13466218,0.1673149,55.31464435146444,40.583378646473655,43.0,12,336,0.00021907894736842104,7.002781785558909e-05,-0.04747433960437775,21.130390167236328,0.013010688126087189,0.015426229685544968,0.1537506103515625,0.10145330429077148,1247,2206.261649131775,2752512,2752512,86016
0.034332715,0.027481824,0.032968566,-0.056347303,0.15473881,56.947916666666664,40.08347274533968,44.0,13,293,0.0002171052631578947,7.20943498890847e-05,-0.04379969835281372,21.08506202697754,0.010647926479578018,0.014443950727581978,0.15321502685546876,0.10691273212432861,1249,2255.6530549526215,2818048,2818048,88064
0.033784833,0.029832942,0.033674654,-0.09462178,0.15443473,60.799815498154985,45.64963190382687,46.0,11,413,0.0002151315789473684,7.268213084898889e-05,-0.04144998639822006,21.060325622558594,0.014837684109807014,0.014688786119222641,0.14946746826171875,0.1008758544921875,1252,2302.1369569301605,2883584,2883584,90112
0.033988215,0.028485375,0.033608913,-0.08496611,0.18448734,60.0400363967243,44.569584882877,45.0,13,498,0.00021315789473684208,6.440636934712529e-05,-0.04553661122918129,21.004507064819336,0.010880554094910622,0.014555337838828564,0.1536376953125,0.10591894388198853,1253,2352.879324197769,2949120,2949120,92160
